,Year,Timesteps,Region,Technology,Carrier,Value
0,2022,1,reg1,Hydrogen_ST,Hydrogen,0.0
1,2022,2,reg1,Hydrogen_ST,Hydrogen,0.0
2,2022,3,reg1,Hydrogen_ST,Hydrogen,0.0
3,2022,4,reg1,Hydrogen_ST,Hydrogen,0.0
4,2022,5,reg1,Hydrogen_ST,Hydrogen,0.0
5,2022,6,reg1,Hydrogen_ST,Hydrogen,0.0
6,2022,7,reg1,Hydrogen_ST,Hydrogen,0.0
7,2022,8,reg1,Hydrogen_ST,Hydrogen,0.0
8,2022,9,reg1,Hydrogen_ST,Hydrogen,0.0
9,2022,10,reg1,Hydrogen_ST,Hydrogen,0.0
10,2022,11,reg1,Hydrogen_ST,Hydrogen,0.0
11,2022,12,reg1,Hydrogen_ST,Hydrogen,0.0
12,2022,13,reg1,Hydrogen_ST,Hydrogen,0.0
13,2022,14,reg1,Hydrogen_ST,Hydrogen,0.0
14,2022,15,reg1,Hydrogen_ST,Hydrogen,0.0
15,2022,16,reg1,Hydrogen_ST,Hydrogen,0.0
16,2022,17,reg1,Hydrogen_ST,Hydrogen,0.0
17,2022,18,reg1,Hydrogen_ST,Hydrogen,0.0
18,2022,19,reg1,Hydrogen_ST,Hydrogen,0.0
19,2022,20,reg1,Hydrogen_ST,Hydrogen,0.0
20,2022,21,reg1,Hydrogen_ST,Hydrogen,0.0
21,2022,22,reg1,Hydrogen_ST,Hydrogen,0.0
22,2022,23,reg1,Hydrogen_ST,Hydrogen,0.0
23,2022,24,reg1,Hydrogen_ST,Hydrogen,0.0
24,2023,1,reg1,Hydrogen_ST,Hydrogen,0.0
25,2023,2,reg1,Hydrogen_ST,Hydrogen,0.0
26,2023,3,reg1,Hydrogen_ST,Hydrogen,0.0
27,2023,4,reg1,Hydrogen_ST,Hydrogen,0.0
28,2023,5,reg1,Hydrogen_ST,Hydrogen,0.0
29,2023,6,reg1,Hydrogen_ST,Hydrogen,0.0
30,2023,7,reg1,Hydrogen_ST,Hydrogen,0.0
31,2023,8,reg1,Hydrogen_ST,Hydrogen,0.0
32,2023,9,reg1,Hydrogen_ST,Hydrogen,0.0
33,2023,10,reg1,Hydrogen_ST,Hydrogen,0.0
34,2023,11,reg1,Hydrogen_ST,Hydrogen,0.0
35,2023,12,reg1,Hydrogen_ST,Hydrogen,0.0
36,2023,13,reg1,Hydrogen_ST,Hydrogen,0.0
37,2023,14,reg1,Hydrogen_ST,Hydrogen,0.0
38,2023,15,reg1,Hydrogen_ST,Hydrogen,0.0
39,2023,16,reg1,Hydrogen_ST,Hydrogen,0.0
40,2023,17,reg1,Hydrogen_ST,Hydrogen,0.0
41,2023,18,reg1,Hydrogen_ST,Hydrogen,0.0
42,2023,19,reg1,Hydrogen_ST,Hydrogen,0.0
43,2023,20,reg1,Hydrogen_ST,Hydrogen,0.0
44,2023,21,reg1,Hydrogen_ST,Hydrogen,0.0
45,2023,22,reg1,Hydrogen_ST,Hydrogen,0.0
46,2023,23,reg1,Hydrogen_ST,Hydrogen,0.0
47,2023,24,reg1,Hydrogen_ST,Hydrogen,0.0
48,2024,1,reg1,Hydrogen_ST,Hydrogen,0.0
49,2024,2,reg1,Hydrogen_ST,Hydrogen,0.0
50,2024,3,reg1,Hydrogen_ST,Hydrogen,0.0
51,2024,4,reg1,Hydrogen_ST,Hydrogen,0.0
52,2024,5,reg1,Hydrogen_ST,Hydrogen,0.0
53,2024,6,reg1,Hydrogen_ST,Hydrogen,0.0
54,2024,7,reg1,Hydrogen_ST,Hydrogen,0.0
55,2024,8,reg1,Hydrogen_ST,Hydrogen,0.0
56,2024,9,reg1,Hydrogen_ST,Hydrogen,0.0
57,2024,10,reg1,Hydrogen_ST,Hydrogen,0.0
58,2024,11,reg1,Hydrogen_ST,Hydrogen,0.0
59,2024,12,reg1,Hydrogen_ST,Hydrogen,0.0
60,2024,13,reg1,Hydrogen_ST,Hydrogen,0.0
61,2024,14,reg1,Hydrogen_ST,Hydrogen,0.0
62,2024,15,reg1,Hydrogen_ST,Hydrogen,0.0
63,2024,16,reg1,Hydrogen_ST,Hydrogen,0.0
64,2024,17,reg1,Hydrogen_ST,Hydrogen,0.0
65,2024,18,reg1,Hydrogen_ST,Hydrogen,0.0
66,2024,19,reg1,Hydrogen_ST,Hydrogen,0.0
67,2024,20,reg1,Hydrogen_ST,Hydrogen,0.0
68,2024,21,reg1,Hydrogen_ST,Hydrogen,0.0
69,2024,22,reg1,Hydrogen_ST,Hydrogen,0.0
70,2024,23,reg1,Hydrogen_ST,Hydrogen,0.0
71,2024,24,reg1,Hydrogen_ST,Hydrogen,0.0
72,2025,1,reg1,Hydrogen_ST,Hydrogen,0.0
73,2025,2,reg1,Hydrogen_ST,Hydrogen,0.0
74,2025,3,reg1,Hydrogen_ST,Hydrogen,0.0
75,2025,4,reg1,Hydrogen_ST,Hydrogen,0.0
