,Datetime,Region,Technology,Emission,Value
0,2020,reg1,Oil_supply,CO2,13979711905.16356
1,2021,reg1,Oil_supply,CO2,14198917044.634033
2,2022,reg1,Oil_supply,CO2,15240439091.466791
3,2023,reg1,Oil_supply,CO2,14630439292.075447
4,2024,reg1,Oil_supply,CO2,14842756400.046402
5,2025,reg1,Oil_supply,CO2,15052777497.517517
6,2026,reg1,Oil_supply,CO2,14633908273.076136
7,2027,reg1,Oil_supply,CO2,14208200648.52316
8,2028,reg1,Oil_supply,CO2,13775728460.07091
9,2029,reg1,Oil_supply,CO2,13336568815.3796
10,2030,reg1,Oil_supply,CO2,12890802143.846466
11,2031,reg1,Oil_supply,CO2,12795814638.68545
12,2032,reg1,Oil_supply,CO2,12705264237.597195
13,2033,reg1,Oil_supply,CO2,12561902722.161182
14,2034,reg1,Oil_supply,CO2,12429193180.216885
15,2035,reg1,Oil_supply,CO2,12304530123.933117
16,2036,reg1,Oil_supply,CO2,12216366994.154612
17,2037,reg1,Oil_supply,CO2,11964653535.956911
18,2038,reg1,Oil_supply,CO2,10939203795.897017
19,2039,reg1,Oil_supply,CO2,10859084687.929571
20,2040,reg1,Oil_supply,CO2,10778965579.96213
21,2041,reg1,Oil_supply,CO2,10712872277.817019
22,2042,reg1,Oil_supply,CO2,10646778975.67188
23,2043,reg1,Oil_supply,CO2,10580672550.820135
24,2044,reg1,Oil_supply,CO2,10514636736.779415
25,2045,reg1,Oil_supply,CO2,10450035519.216627
26,2046,reg1,Oil_supply,CO2,10420017424.277164
27,2047,reg1,Oil_supply,CO2,10389999329.337713
28,2048,reg1,Oil_supply,CO2,10489122111.176773
29,2049,reg1,Oil_supply,CO2,10580745295.727179
30,2050,reg1,Oil_supply,CO2,10580745295.727179
31,2051,reg1,Oil_supply,CO2,10580745295.727179
32,2052,reg1,Oil_supply,CO2,10580745295.727179
33,2053,reg1,Oil_supply,CO2,10580745295.727179
34,2054,reg1,Oil_supply,CO2,10580745295.727186
35,2055,reg1,Oil_supply,CO2,10580745295.727186
36,2056,reg1,Oil_supply,CO2,10580745295.727179
37,2057,reg1,Oil_supply,CO2,10580745295.727179
38,2058,reg1,Oil_supply,CO2,10580745295.727179
39,2059,reg1,Oil_supply,CO2,10580745295.727186
40,2060,reg1,Oil_supply,CO2,10580745295.727179
41,2061,reg1,Oil_supply,CO2,10580745295.727186
42,2062,reg1,Oil_supply,CO2,10580745295.727179
43,2063,reg1,Oil_supply,CO2,10580745295.727179
44,2064,reg1,Oil_supply,CO2,10580745295.727179
45,2065,reg1,Oil_supply,CO2,10580745295.727179
46,2066,reg1,Oil_supply,CO2,10580745295.72718
47,2067,reg1,Oil_supply,CO2,10580745295.727179
48,2068,reg1,Oil_supply,CO2,10580745295.727179
49,2069,reg1,Oil_supply,CO2,10580745295.727179
50,2070,reg1,Oil_supply,CO2,10299945044.519352
51,2020,reg1,NG_supply,CO2,30411909306.46505
52,2021,reg1,NG_supply,CO2,26590718609.296017
53,2022,reg1,NG_supply,CO2,24739481001.6414
54,2023,reg1,NG_supply,CO2,25934201580.72999
55,2024,reg1,NG_supply,CO2,25443586785.26466
56,2025,reg1,NG_supply,CO2,24906426368.13546
57,2026,reg1,NG_supply,CO2,24302085650.42694
58,2027,reg1,NG_supply,CO2,23772788604.44488
59,2028,reg1,NG_supply,CO2,23455736101.98152
60,2029,reg1,NG_supply,CO2,23249557078.998596
61,2030,reg1,NG_supply,CO2,23029467207.43114
62,2031,reg1,NG_supply,CO2,22562097844.3977
63,2032,reg1,NG_supply,CO2,22226459996.646053
64,2033,reg1,NG_supply,CO2,21674225020.32746
65,2034,reg1,NG_supply,CO2,21304088111.864346
66,2035,reg1,NG_supply,CO2,20946927596.03111
67,2036,reg1,NG_supply,CO2,20671969038.968193
68,2037,reg1,NG_supply,CO2,20376148614.855606
69,2038,reg1,NG_supply,CO2,20014765822.47777
70,2039,reg1,NG_supply,CO2,19727689908.77864
