,Year,Region,Technology,Carrier,Value
0,2020,reg1,Pump_hydro_ST,Electricity,0.0
1,2021,reg1,Pump_hydro_ST,Electricity,0.09657098083474752
2,2022,reg1,Pump_hydro_ST,Electricity,0.09347587697496404
3,2023,reg1,Pump_hydro_ST,Electricity,0.09452559676750652
4,2024,reg1,Pump_hydro_ST,Electricity,0.09419602300372487
5,2025,reg1,Pump_hydro_ST,Electricity,7.175335269399482
6,2026,reg1,Pump_hydro_ST,Electricity,7.515576168409373
7,2027,reg1,Pump_hydro_ST,Electricity,7.853457222158266
8,2028,reg1,Pump_hydro_ST,Electricity,8.188998848777903
9,2029,reg1,Pump_hydro_ST,Electricity,8.534495051305733
10,2030,reg1,Pump_hydro_ST,Electricity,8.894618478359355
11,2031,reg1,Pump_hydro_ST,Electricity,8.87929939227923
12,2032,reg1,Pump_hydro_ST,Electricity,12.666994758823357
13,2033,reg1,Pump_hydro_ST,Electricity,8.864032983200858
14,2034,reg1,Pump_hydro_ST,Electricity,8.854028114095101
15,2035,reg1,Pump_hydro_ST,Electricity,8.844045804596874
16,2036,reg1,Pump_hydro_ST,Electricity,8.834085978488972
17,2037,reg1,Pump_hydro_ST,Electricity,8.824148559896997
18,2038,reg1,Pump_hydro_ST,Electricity,8.814233473287587
19,2039,reg1,Pump_hydro_ST,Electricity,8.804340643466574
20,2040,reg1,Pump_hydro_ST,Electricity,8.79446999557689
21,2041,reg1,Pump_hydro_ST,Electricity,8.784621455096811
22,2042,reg1,Pump_hydro_ST,Electricity,8.774794947838075
23,2043,reg1,Pump_hydro_ST,Electricity,22.277552178362555
24,2044,reg1,Pump_hydro_ST,Electricity,8.764990399944026
25,2045,reg1,Pump_hydro_ST,Electricity,8.764990399944054
26,2046,reg1,Pump_hydro_ST,Electricity,8.764990399944054
27,2047,reg1,Pump_hydro_ST,Electricity,8.764990399944054
28,2048,reg1,Pump_hydro_ST,Electricity,8.764990399944026
29,2049,reg1,Pump_hydro_ST,Electricity,8.764990399944054
30,2050,reg1,Pump_hydro_ST,Electricity,8.764990399944054
31,2051,reg1,Pump_hydro_ST,Electricity,8.764990399944054
32,2052,reg1,Pump_hydro_ST,Electricity,8.764990399944054
33,2053,reg1,Pump_hydro_ST,Electricity,8.764990399944054
34,2054,reg1,Pump_hydro_ST,Electricity,31.021361340337364
35,2055,reg1,Pump_hydro_ST,Electricity,8.76499039994411
36,2056,reg1,Pump_hydro_ST,Electricity,8.764990399943997
37,2057,reg1,Pump_hydro_ST,Electricity,8.764990399944054
38,2058,reg1,Pump_hydro_ST,Electricity,8.764990399944054
39,2059,reg1,Pump_hydro_ST,Electricity,8.764990399944054
40,2060,reg1,Pump_hydro_ST,Electricity,8.764990399944054
41,2061,reg1,Pump_hydro_ST,Electricity,8.76499039994411
42,2062,reg1,Pump_hydro_ST,Electricity,8.764990399944224
43,2063,reg1,Pump_hydro_ST,Electricity,8.764990399944054
44,2064,reg1,Pump_hydro_ST,Electricity,8.764990399944054
45,2065,reg1,Pump_hydro_ST,Electricity,39.2134407805533
46,2066,reg1,Pump_hydro_ST,Electricity,8.764990399944054
47,2067,reg1,Pump_hydro_ST,Electricity,41.25826248914416
48,2068,reg1,Pump_hydro_ST,Electricity,9.067536533325153
49,2069,reg1,Pump_hydro_ST,Electricity,9.05133355964341
50,2070,reg1,Pump_hydro_ST,Electricity,9.035188389547216
51,2020,reg1,Electrochemical_ST,Electricity,0.0
52,2021,reg1,Electrochemical_ST,Electricity,0.12796683598148043
53,2022,reg1,Electrochemical_ST,Electricity,0.12796683598148043
54,2023,reg1,Electrochemical_ST,Electricity,0.12796683598148045
55,2024,reg1,Electrochemical_ST,Electricity,0.1279668359814804
56,2025,reg1,Electrochemical_ST,Electricity,2.6873035556110887
57,2026,reg1,Electrochemical_ST,Electricity,3.5080200176801215
58,2027,reg1,Electrochemical_ST,Electricity,4.266966656120531
59,2028,reg1,Electrochemical_ST,Electricity,5.025913294560947
60,2029,reg1,Electrochemical_ST,Electricity,5.784859933001358
61,2030,reg1,Electrochemical_ST,Electricity,6.543806571441764
62,2031,reg1,Electrochemical_ST,Electricity,6.354069911831658
63,2032,reg1,Electrochemical_ST,Electricity,6.354069911831665
64,2033,reg1,Electrochemical_ST,Electricity,6.354069911831658
65,2034,reg1,Electrochemical_ST,Electricity,6.354069911831665
66,2035,reg1,Electrochemical_ST,Electricity,6.354069911831658
67,2036,reg1,Electrochemical_ST,Electricity,6.354069911831658
68,2037,reg1,Electrochemical_ST,Electricity,6.354069911831672
69,2038,reg1,Electrochemical_ST,Electricity,6.354069911831658
70,2039,reg1,Electrochemical_ST,Electricity,6.354069911831644
71,2040,reg1,Electrochemical_ST,Electricity,6.354069911831658
72,2041,reg1,Electrochemical_ST,Electricity,6.354069911831658
73,2042,reg1,Electrochemical_ST,Electricity,6.354069911831644
74,2043,reg1,Electrochemical_ST,Electricity,6.354069911831658
75,2044,reg1,Electrochemical_ST,Electricity,6.354069911831658
76,2045,reg1,Electrochemical_ST,Electricity,6.354069911831658
77,2046,reg1,Electrochemical_ST,Electricity,6.354069911831672
78,2047,reg1,Electrochemical_ST,Electricity,6.354069911831681
79,2048,reg1,Electrochemical_ST,Electricity,6.35406991183168
80,2049,reg1,Electrochemical_ST,Electricity,6.354069911826628
81,2050,reg1,Electrochemical_ST,Electricity,6.35406991183163
82,2051,reg1,Electrochemical_ST,Electricity,6.35406991183163
83,2052,reg1,Electrochemical_ST,Electricity,6.35406991183163
84,2053,reg1,Electrochemical_ST,Electricity,6.35406991183163
85,2054,reg1,Electrochemical_ST,Electricity,6.35406991183163
86,2055,reg1,Electrochemical_ST,Electricity,6.35406991183163
87,2056,reg1,Electrochemical_ST,Electricity,6.354069911831658
88,2057,reg1,Electrochemical_ST,Electricity,6.35406991183163
89,2058,reg1,Electrochemical_ST,Electricity,6.354069911831601
90,2059,reg1,Electrochemical_ST,Electricity,6.354069911831601
91,2060,reg1,Electrochemical_ST,Electricity,6.354069911831601
92,2061,reg1,Electrochemical_ST,Electricity,6.3540699118315445
93,2062,reg1,Electrochemical_ST,Electricity,6.354069911831573
94,2063,reg1,Electrochemical_ST,Electricity,6.354069911831573
95,2064,reg1,Electrochemical_ST,Electricity,6.354069911831658
96,2065,reg1,Electrochemical_ST,Electricity,6.35406991183163
97,2066,reg1,Electrochemical_ST,Electricity,6.35406991183163
98,2067,reg1,Electrochemical_ST,Electricity,6.35406991183163
99,2068,reg1,Electrochemical_ST,Electricity,6.35406991183163
100,2069,reg1,Electrochemical_ST,Electricity,6.354069911831857
101,2070,reg1,Electrochemical_ST,Electricity,6.354069911834699
102,2020,reg1,Hydrogen_ST,Hydrogen,0.0
103,2021,reg1,Hydrogen_ST,Hydrogen,0.0
104,2022,reg1,Hydrogen_ST,Hydrogen,0.0
105,2023,reg1,Hydrogen_ST,Hydrogen,0.0
